source,target,type
monymmorales,cc_guatemala,mention
animaldgalaccia,pncdeguatemala,mention
animaldgalaccia,mingobguate,mention
animaldgalaccia,fjimenezmingob,mention
animaldgalaccia,diegoedeleon,mention
animaldgalaccia,amilcarmontejo,mention
animaldgalaccia,traficogt,mention
estaciondoblea,amilcarmontejo,mention
estaciondoblea,aztecanoticiagt,mention
estaciondoblea,bancadasemilla,mention
estaciondoblea,barevalodeleon,mention
estaciondoblea,diputadojp,mention
estaciondoblea,emisorasunidas,mention
estaciondoblea,ep_investiga,mention
estaciondoblea,impactonoticigt,mention
estaciondoblea,lahoragt,mention
estaciondoblea,mingobguate,mention
estaciondoblea,prensacomunitar,mention
estaciondoblea,transito_mixco,mention
estaciondoblea,dgtguate,mention
estaciondoblea,pmt_villanueva,mention
estaciondoblea,infotransitogt,mention
estaciondoblea,traficogt,mention
estaciondoblea,pmt_sanjuansac,mention
estaciondoblea,pmtsanlucassac,mention
estaciondoblea,yenerplaza,mention
cubreserva,soy_502,mention
cubreserva,aztecanoticiagt,mention
cubreserva,conapgt,mention
cubreserva,denunciaempagua,mention
cubreserva,muniguate,mention
cubreserva,guatemalagob,mention
cubreserva,guatevision_tv,mention
cubreserva,pattyo502,mention
cubreserva,karinapazgt,mention
cubreserva,josechic86,mention
cubreserva,vecinosz16,mention
cubreserva,traficogt,mention
cubreserva,emisorasunidas,mention
cubreserva,ep_investiga,mention
cubreserva,isapaiz_,mention
alejandro2024gt,amilcarmontejo,mention
alejandro2024gt,pmtmuniguate,mention
alejandro2024gt,noti7guatemala,mention
alejandro2024gt,nuestrodiario,mention
alejandro2024gt,t13noticias,mention
alejandro2024gt,aztecaguate,mention
alejandro2024gt,traficogt,mention
julyponce21,traficogt,mention
julyponce21,amilcarmontejo,mention
julyponce21,pncdeguatemala,mention
cubreserva,_ojoconmipisto,mention
cubreserva,luisvengt,mention
cubreserva,samuel_pz,mention
cubreserva,ciudadcayala,mention
cubreserva,marnguate,mention
alexdel92022343,piero_coen,mention
alexdel92022343,fjimenezmingob,mention
alexdel92022343,traficogt,mention
alexdel92022343,mingobguate,mention
alexdel92022343,pncdeguatemala,mention
alexdel92022343,diariodeca,mention
alexdel92022343,agn_noticias,mention
alexdel92022343,radio_tgw,mention
alexdel92022343,guatemalagob,mention
bullgarrafuerte,erwin_fern84019,mention
bullgarrafuerte,piero_coen,mention
bullgarrafuerte,fjimenezmingob,mention
bullgarrafuerte,traficogt,mention
bullgarrafuerte,mingobguate,mention
bullgarrafuerte,pncdeguatemala,mention
bullgarrafuerte,diariodeca,mention
bullgarrafuerte,agn_noticias,mention
bullgarrafuerte,radio_tgw,mention
bullgarrafuerte,guatemalagob,mention
dbeatrizmb,luisficarpediem,mention
dbeatrizmb,traficogt,mention
luisficarpediem,traficogt,mention
sor_monroy,piero_coen,mention
sor_monroy,fjimenezmingob,mention
sor_monroy,traficogt,mention
sor_monroy,mingobguate,mention
sor_monroy,pncdeguatemala,mention
sor_monroy,diariodeca,mention
sor_monroy,agn_noticias,mention
sor_monroy,radio_tgw,mention
sor_monroy,guatemalagob,mention
mmiaumersons,erwin_fern84019,mention
mmiaumersons,piero_coen,mention
mmiaumersons,fjimenezmingob,mention
mmiaumersons,traficogt,mention
mmiaumersons,mingobguate,mention
mmiaumersons,pncdeguatemala,mention
mmiaumersons,diariodeca,mention
mmiaumersons,agn_noticias,mention
mmiaumersons,radio_tgw,mention
mmiaumersons,guatemalagob,mention
erwin_fern84019,piero_coen,mention
erwin_fern84019,fjimenezmingob,mention
erwin_fern84019,traficogt,mention
erwin_fern84019,mingobguate,mention
erwin_fern84019,pncdeguatemala,mention
erwin_fern84019,diariodeca,mention
erwin_fern84019,agn_noticias,mention
erwin_fern84019,radio_tgw,mention
erwin_fern84019,guatemalagob,mention
rivera_bambu,fjimenezmingob,mention
rivera_bambu,traficogt,mention
rivera_bambu,mingobguate,mention
rivera_bambu,pncdeguatemala,mention
rivera_bambu,diariodeca,mention
rivera_bambu,agn_noticias,mention
rivera_bambu,radio_tgw,mention
rivera_bambu,guatemalagob,mention
piero_coen,fjimenezmingob,mention
piero_coen,traficogt,mention
piero_coen,mingobguate,mention
piero_coen,pncdeguatemala,mention
piero_coen,diariodeca,mention
piero_coen,agn_noticias,mention
piero_coen,radio_tgw,mention
piero_coen,guatemalagob,mention
contreras_tani,amilcarmontejo,mention
contreras_tani,traficogt,mention
express_foto,traficogt,mention
express_foto,amilcarmontejo,mention
express_foto,soy_502,mention
express_foto,prensa_libre,mention
cubreserva,publinewsgt,mention
cubreserva,quorumgt,mention
cubreserva,tn23noticias,mention
cubreserva,mmendoza_gt,mention
cubreserva,telediariogt,mention
cubreserva,nilrilesor,mention
cubreserva,oco_motora,mention
cubreserva,alex_balsells,mention
cubreserva,lahoragt,mention
cubreserva,jlfont001,mention
cubreserva,jpdardon,mention
cubreserva,justiciayagt,mention
cubreserva,zoom_502gt,mention
cubreserva,plazapublicagt,mention
elmerlandazuri7,traficogt,mention
molinerosed,noti_atlantico,mention
molinerosed,muniguate,mention
molinerosed,bomberosmuni,mention
molinerosed,bvoluntariosgt,mention
molinerosed,telediariogt,mention
molinerosed,t13noticias,mention
molinerosed,traficogt,mention
jul_sando_1962,traficogt,mention
sonny_figueroa,muniguate,mention
sonny_figueroa,rquinonezl,mention
sonny_figueroa,bancoindustrial,mention
eeliezer1985,amilcarmontejo,mention
eeliezer1985,muniguate,mention
eeliezer1985,traficogt,mention
eeliezer1985,dtransitopnc,mention
traficogt,partidoune,mention
traficogt,sandratorresgua,mention
traficogt,mpguatemala,mention
gigantedecolch,scpmuni,mention
gigantedecolch,soy_502,mention
gigantedecolch,traficogt,mention
gigantedecolch,barevalodeleon,mention
gigantedecolch,covial_civ,mention
arthurshp_wf,traficogt,mention
carlosrkestler,jpablo998af,mention
carlosrkestler,traficogt,mention
carlosrkestler,plazapublicagt,mention
vir129,amilcarmontejo,mention
vir129,muniguate,mention
vir129,traficogt,mention
bayronortega68,traficogt,mention
cbastiancruz,traficogt,mention
mlopezguate,lahoragt,mention
mlopezguate,traficogt,mention
arkmazariegos,sankevins,mention
arkmazariegos,traficogt,mention
jpablo998af,carlosrkestler,mention
jpablo998af,traficogt,mention
jpablo998af,plazapublicagt,mention
edvin111956,traficogt,mention
eddyarredondo23,traficogt,mention
ed8sv,covial_civ,mention
ed8sv,barevalodeleon,mention
ed8sv,traficogt,mention
marco06ruiz,traficogt,mention
marco06ruiz,barevalodeleon,mention
mariochiu2,alianzargt,mention
mariochiu2,traficogt,mention
mariochiu2,prensacomunitar,mention
mariochiu2,prensa_libre,mention
mariochiu2,plazapublicagt,mention
mariochiu2,publinewsgt,mention
mariochiu2,radiopuntogt,mention
mariochiu2,aztecanoticiagt,mention
mariochiu2,lahoragt,mention
mariochiu2,cc_guatemala,mention
mariochiu2,ojguatemala,mention
mariochiu2,mpguatemala,mention
pastorajcastro,prensacomunitar,mention
pastorajcastro,traficogt,mention
efonseca2841,munivcanales,mention
efonseca2841,traficogt,mention
marinae41953239,isapaiz_,mention
marinae41953239,traficogt,mention
hecch,guillepefe2012,mention
hecch,traficogt,mention
hecch,amilcarmontejo,mention
hecch,muniguate,mention
hecch,rquinonezl,mention
guillepefe2012,traficogt,mention
guillepefe2012,amilcarmontejo,mention
guillepefe2012,muniguate,mention
guillepefe2012,rquinonezl,mention
guillepefe2012,transmetroguate,mention
guillepefe2012,transitogt,mention
florydeprez2,amilcarmontejo,mention
florydeprez2,rquinonezl,mention
florydeprez2,traficogt,mention
ttrezz777,21kmuniguate,mention
ttrezz777,muniguate,mention
ttrezz777,rquinonezl,mention
ttrezz777,amilcarmontejo,mention
ttrezz777,traficogt,mention
ttrezz777,denunciaempagua,mention
kiluluki,prensacomunitar,mention
kiluluki,traficogt,mention
julioca75923080,emisorasunidas,mention
julioca75923080,traficogt,mention
julioca75923080,ricigt1,mention
mesas752066,monymmorales,mention
mesas752066,traficogt,mention
diegooliva95,noti_atlantico,mention
diegooliva95,traficogt,mention
diegooliva95,odioaemetra,mention
diegooliva95,muniguate,mention
fabycalderon11,traficogt,mention
krystap33861,vichoguate,mention
krystap33861,climaenguate,mention
krystap33861,traficogt,mention
krystap33861,sonora969,mention
krystap33861,sonny_figueroa,mention
krystap33861,soyestauser,mention
ldubon63,esta_busqueda,mention
ldubon63,traficogt,mention
ldubon63,diegoedeleon,mention
erickpinaleshou,ldubon63,mention
erickpinaleshou,ep_investiga,mention
erickpinaleshou,traficogt,mention
vhcb,danydoggy,mention
vhcb,traficogt,mention
vhcb,ep_investiga,mention
ldubon63,ep_investiga,mention
batallonjalapa,santipalomov,mention
batallonjalapa,traficogt,mention
batallonjalapa,barevalodeleon,mention
aacn75,traficogt,mention
aacn75,dgtguate,mention
aacn75,dtransitopnc,mention
cedr2506,darwinhk,mention
cedr2506,traficogt,mention
papaabumario,ricigt1,mention
papaabumario,traficogt,mention
enrique51859338,ricigt1,mention
enrique51859338,traficogt,mention
gersonbarrera,ricigt1,mention
gersonbarrera,traficogt,mention
oracintfaith,jsandoval1982,mention
oracintfaith,traficogt,mention
joffar28,traficogt,mention
florydeprez2,muniguate,mention
rafaeldelaguil8,ricigt1,mention
rafaeldelaguil8,traficogt,mention
rafaeldelaguil8,mpguatemala,mention
blanki9rodiguez,amilcarmontejo,mention
blanki9rodiguez,traficogt,mention
ep_investiga,sib_guatemala,mention
ep_investiga,pavelvga,mention
florespolo76g,quorumgt,mention
florespolo76g,traficogt,mention
florespolo76g,jeanellydvg,mention
locoxelalbo,traficogt,mention
quorumgt,jeanellydvg,mention
batallonjalapa,darwinhk,mention
honor182,amilcarmontejo,mention
honor182,pmtmuniguate,mention
honor182,traficogt,mention
dsepet,carlosrkestler,mention
dsepet,traficogt,mention
josrafa44150143,danydoggy,mention
josrafa44150143,traficogt,mention
rmensoruin,72_cpineda,mention
edwadriperez,rooavila,mention
edwadriperez,traficogt,mention
edwadriperez,usembassyguate,mention
edwadriperez,oea_oficial,mention
edwadriperez,almagro_oea2015,mention
edwadriperez,cij_icj,mention
edwadriperez,ueguatemala,mention
edwadriperez,edgar_ortizgt,mention
edwadriperez,alex_balsells,mention
edwadriperez,acguatemala,mention
edwadriperez,contraloria_gt,mention
edwadriperez,pgn,mention
edwadriperez,alvaroarzue,mention
edwadriperez,sandra_jovelp,mention
edwadriperez,barevalodeleon,mention
jaguilar91juan,lahoragt,mention
jaguilar91juan,traficogt,mention
rafaeldelaguil8,mmendoza_gt,mention
rafaeldelaguil8,congresoguate,mention
miss_pattygt,lahoragt,mention
miss_pattygt,traficogt,mention
oalmeguz,emixtragt,mention
oalmeguz,traficogt,mention
oalmeguz,transito_mixco,mention
oalmeguz,netobran,mention
oalmeguz,deportivo_mixco,mention
luciourquidez,traficogt,mention
l12baquiax,traficogt,mention
comunicalord,traficogt,mention
_jhernandez81,traficogt,mention
gudielarma24032,traficogt,mention
castcn,traficogt,mention
rickyr7,traficogt,mention
eledycito,traficogt,mention
fmendezargueta,gorkygirl2,mention
fmendezargueta,prensacomunitar,mention
fmendezargueta,traficogt,mention
blablabla1950,tito8829,mention
blablabla1950,prensacomunitar,mention
blablabla1950,traficogt,mention
papaabumario,bermejogt,mention
gorkygirl2,prensacomunitar,mention
gorkygirl2,traficogt,mention
quiquegodoy,satgt,mention
tito8829,prensacomunitar,mention
tito8829,traficogt,mention
quiquegodoy,mpguatemala,mention
sirpedrogt,jovannagarcon,mention
sirpedrogt,traficogt,mention
roanchi2,figueroasarti,mention
roanchi2,traficogt,mention
cocolocoantillo,ricigt1,mention
cocolocoantillo,traficogt,mention
gilrey422483,papaabumario,mention
gilrey422483,traficogt,mention
jeson_tino,blogcatarsis,mention
jeson_tino,traficogt,mention
vozdeltuit,congresoguate,mention
g3bo,traficogt,mention
menendezamc1,traficogt,mention
angeln8,amilcarmontejo,mention
angeln8,traficogt,mention
maurelius47233,traficogt,mention
pfacticos,traficogt,mention
mundo9999,traficogt,mention
sara20400400,traficogt,mention
eliseo5209,traficogt,mention
richarsonc5,traficogt,mention
vicky3313,traficogt,mention
vicky3313,guatemalagob,mention
vicky3313,felixsinexcusas,mention
vicky3313,barevalodeleon,mention
cc_abogado,traficogt,mention
coma_jose,traficogt,mention
tonogtr,juanmarcoscq,mention
tonogtr,traficogt,mention
tonogtr,felixsinexcusas,mention
mariabonita9697,traficogt,mention
xinit17687372,traficogt,mention
sirpedrogt,manfredoguate,mention
aaalonso71,traficogt,mention
glennavi,tonogtr,mention
glennavi,traficogt,mention
glennavi,amilcarmontejo,mention
tonogtr,glennavi,mention
chepechapin58,traficogt,mention
juanmarcoscq,traficogt,mention
juanmarcoscq,felixsinexcusas,mention
elgriego7,prensacomunitar,mention
elgriego7,traficogt,mention
mynor007,traficogt,mention
hami417,traficogt,mention
erwin15,traficogt,mention
zullyroca_gi,traficogt,mention
robertr02304443,traficogt,mention
tevoyafunargt,arronchopa,mention
tevoyafunargt,traficogt,mention
tevoyafunargt,felixsinexcusas,mention
arronchopa,traficogt,mention
poder502,traficogt,mention
ulisesmarinez,traficogt,mention
noetineco,traficogt,mention
donaldoalvr,traficogt,mention
eliseobac,traficogt,mention
dalexi10,traficogt,mention
ausentechapingt,traficogt,mention
noizquierda3,traficogt,mention
pmaparicio,traficogt,mention
de_don61347,traficogt,mention
rodri8719,traficogt,mention
cc6447,traficogt,mention
antichairochapi,traficogt,mention
sergioporres2,traficogt,mention
aliaslajose,traficogt,mention
ricardo44762362,traficogt,mention
edwadriperez,manfredoguate,mention
edwadriperez,jlfont001,mention
maribelmar51429,traficogt,mention
chocolateecurls,traficogt,mention
dni23_14,__vadertg,mention
dni23_14,traficogt,mention
rocaguate2022,lahoragt,mention
rocaguate2022,traficogt,mention
kalemarro,mjaguilare,mention
kalemarro,traficogt,mention
anti_chairosgt,traficogt,mention
__vadertg,traficogt,mention
byron96324753,traficogt,mention
carolin1793,traficogt,mention
edwadriperez,marvindelcid,mention
edwadriperez,sonny_figueroa,mention
edwadriperez,quiquegodoy,mention
edwadriperez,fiscalnvicto,mention
edwadriperez,vicentecarrera_,mention
edwadriperez,aeu_oliveriocdl,mention
mjaguilare,kalemarro,mention
mjaguilare,traficogt,mention
licigir21,traficogt,mention
licigir21,mpguatemala,mention
licigir21,barevalodeleon,mention
chofito63569841,traficogt,mention
chofito63569841,mpguatemala,mention
chofito63569841,barevalodeleon,mention
artmobilegt,traficogt,mention
artmobilegt,mpguatemala,mention
artmobilegt,barevalodeleon,mention
traficogt,barevalodeleon,mention
varrecisg,traficogt,mention
sunflowerbabe91,traficogt,mention
carlosrmh82,traficogt,mention
shuteelpobre,mmendoza_gt,mention
shuteelpobre,traficogt,mention
shuteelpobre,rcurruchic25741,mention
shuteelpobre,canales3y7,mention
shuteelpobre,canales11y13,mention
shuteelpobre,noti7guatemala,mention
shuteelpobre,telediariogt,mention
shuteelpobre,tn23noticias,mention
shuteelpobre,t13noticias,mention
shuteelpobre,sonora,mention
shuteelpobre,sonora969,mention
oscarvi14778594,traficogt,mention
oscarvi14778594,barevalodeleon,mention
esequielmo90988,traficogt,mention
esequielmo90988,barevalodeleon,mention
kikin1957,lahoragt,mention
kikin1957,traficogt,mention
cansadodecorru1,traficogt,mention
cansadodecorru1,pmtmuniguate,mention
danies1986,traficogt,mention
danies1986,barevalodeleon,mention
alejandroa30266,amilcarmontejo,mention
alejandroa30266,traficogt,mention
alejandroa30266,pmtmuniguate,mention
rodrigomarin192,traficogt,mention
rodrigomarin192,barevalodeleon,mention
ottoareyesestr2,traficogt,mention
karen_sant35047,traficogt,mention
karen_sant35047,barevalodeleon,mention
guaboomerang,traficogt,mention
guaboomerang,barevalodeleon,mention
miguelareyesc82,traficogt,mention
miguelareyesc82,barevalodeleon,mention
pedroernestoto2,traficogt,mention
pedroernestoto2,samreu2,mention
pedroernestoto2,bancadacabal__,mention
menendezamc1,barevalodeleon,mention
miguelareyesc82,alexvaldezsmith,mention
monicaloaiza20,por_mi_guate,mention
monicaloaiza20,traficogt,mention
monicaloaiza20,nadiadeleongt,mention
chofito63569841,emisorasunidas,mention
chofito63569841,pedgar05,mention
victorp95913830,prensacomunitar,mention
victorp95913830,traficogt,mention
victorp95913830,_rahina_,mention
estu_madridista,traficogt,mention
estu_madridista,barevalodeleon,mention
coma_jose,alfarito007,mention
coma_jose,barevalodeleon,mention
gualanel,traficogt,mention
gualanel,barevalodeleon,mention
evelync47357166,traficogt,mention
evelync47357166,barevalodeleon,mention
mikikahn,traficogt,mention
mikikahn,barevalodeleon,mention
alvare_vinicio,traficogt,mention
alvare_vinicio,barevalodeleon,mention
ausentechapingt,barevalodeleon,mention
